Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,ID,Volume
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 335i xDrive Sedan AT,BMW,2010 BMW 3 Series Sedan,2010,300,300,1444,601344
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,28,Manual transmission,2010 BMW 328i Sedan,BMW Motorrad,2010 BMW 3 Series Sedan,2010,230,200,1445,580464
144,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 265 hp 425 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,36,Automatic transmission,2010 BMW 335d Sedan,BMW,2010 BMW 3 Series Sedan,2010,265,425,1446,601344
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 328i xDrive Sedan AT,BMW Motorrad,2010 BMW 3 Series Sedan,2010,230,200,1447,601344
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Manual,16,Gasoline,25,Manual transmission,2010 BMW 335i xDrive Sedan,BMW,2010 BMW 3 Series Sedan,2010,300,300,1448,601344
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2010 BMW 328i xDrive Sedan,BMW Motorrad,2010 BMW 3 Series Sedan,2010,230,200,1449,601344
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,28,Automatic transmission,2010 BMW 328i Sedan AT,BMW Motorrad,2010 BMW 3 Series Sedan,2010,230,200,1450,580464
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2010 BMW 335i Sedan,BMW,2010 BMW 3 Series Sedan,2010,300,300,1451,580464
46,231,148,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic Select Shift,17,Diesel fuel,23,Automatic transmission,2010 Mercedes-Benz GL350 BlueTEC 4Matic,Mercedes,2010 Mercedes-Benz GL-Class,2010,210,400,1452,1572648
46,231,148,All-wheel drive,Mercedes-Benz 4.6L 8 Cylinder 335hp 339ft-lbs,TRUE,7,7 Speed Automatic Select Shift,13,Gasoline,17,Automatic transmission,2010 Mercedes-Benz GL450 4Matic,Mercedes-Benz,2010 Mercedes-Benz GL-Class,2010,335,339,1453,1572648
46,231,148,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2010 Mercedes-Benz GL550 4Matic,Mercedes,2010 Mercedes-Benz GL-Class,2010,382,391,1454,1572648
231,214,254,Front-wheel drive,Nissan 2.0L 4 cylinder 140 hp 147 ft-lbs,TRUE,6,6 Speed Manual,24,Gasoline,31,Manual transmission,2010 Nissan Sentra 2.0,Nissan,2010 Nissan Sentra,2010,140,147,1455,12556236
221,222,254,Front-wheel drive,Nissan 2.5L 4 cylinder 200 hp 180 ft-lbs,TRUE,6,6 Speed Manual,21,Gasoline,28,Manual transmission,2010 Nissan Sentra SE-R Spec V,Nissan,2010 Nissan Sentra,2010,200,180,1456,12461748
46,231,148,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2011 Mercedes-Benz GL550 4Matic,Mercedes,2011 Mercedes-Benz GL-Class,2011,382,391,1457,1572648
46,231,148,All-wheel drive,Mercedes-Benz 4.6L 8 Cylinder 335hp 339ft-lbs,TRUE,7,7 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission,2011 Mercedes-Benz GL450 4Matic,Mercedes-Benz,2011 Mercedes-Benz GL-Class,2011,335,339,1458,1572648
46,231,148,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic Select Shift,17,Diesel fuel,21,Automatic transmission,2011 Mercedes-Benz GL350 BlueTEC 4Matic,Mercedes,2011 Mercedes-Benz GL-Class,2011,210,400,1459,1572648
254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2011 Nissan Versa Hatchback 1.8 S,Nissan,2011 Nissan Versa Hatchback,2011,122,127,1460,7986268
254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2011 Nissan Versa Hatchback 1.8 S AT,Nissan,2011 Nissan Versa Hatchback,2011,122,127,1461,7986268
254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2010 Nissan Versa Hatchback 1.8 S AT,Nissan,2010 Nissan Versa Hatchback,2010,122,127,1462,7986268
254,199,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2010 Nissan Versa Hatchback 1.8 S,Nissan,2010 Nissan Versa Hatchback,2010,122,127,1463,7986268
163,174,95,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,16,Gasoline,22,Automatic transmission,2010 Mercedes-Benz GLK350,Mercedes,2010 Mercedes-Benz GLK-Class,2010,268,258,1464,2694390
163,174,95,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2010 Mercedes-Benz GLK350 4Matic,Mercedes,2010 Mercedes-Benz GLK-Class,2010,268,258,1465,2694390
163,174,224,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2011 Mercedes-Benz GLK350 4Matic,Mercedes,2011 Mercedes-Benz GLK-Class,2011,268,258,1466,6353088
163,174,224,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,16,Gasoline,23,Automatic transmission,2011 Mercedes-Benz GLK350,Mercedes,2011 Mercedes-Benz GLK-Class,2011,268,258,1467,6353088
144,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 265 hp 425 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,23,Gasoline,36,Automatic transmission,2011 BMW 335d Sedan,BMW,2011 BMW 3 Series Sedan,2011,265,425,1468,601344
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2011 BMW 335i xDrive Sedan AT,BMW,2011 BMW 3 Series Sedan,2011,300,300,1469,601344
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,28,Manual transmission,2011 BMW 328i Sedan,BMW Motorrad,2011 BMW 3 Series Sedan,2011,230,200,1470,580464
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2011 BMW 328i xDrive Sedan AT,BMW Motorrad,2011 BMW 3 Series Sedan,2011,230,200,1471,601344
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2011 BMW 328i xDrive Sedan,BMW Motorrad,2011 BMW 3 Series Sedan,2011,230,200,1472,601344
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,28,Automatic transmission,2011 BMW 328i Sedan AT,BMW Motorrad,2011 BMW 3 Series Sedan,2011,230,200,1473,580464
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,28,Automatic transmission,2011 BMW 335i Sedan AT,BMW,2011 BMW 3 Series Sedan,2011,300,300,1474,580464
144,174,24,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Manual,19,Gasoline,26,Manual transmission,2011 BMW 335i xDrive Sedan,BMW,2011 BMW 3 Series Sedan,2011,300,300,1475,601344
139,174,24,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,TRUE,6,6 Speed Manual,19,Gasoline,28,Manual transmission,2011 BMW 335i Sedan,BMW,2011 BMW 3 Series Sedan,2011,300,300,1476,580464
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,28,Manual transmission,2012 Ford Escape XLS,Ford,2012 Ford Escape,2012,171,171,1477,207740
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2012 Ford Escape XLS AT,Ford,2012 Ford Escape,2012,171,171,1478,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape XLS AWD,Ford,2012 Ford Escape,2012,171,171,1479,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2012 Ford Escape XLT,Ford,2012 Ford Escape,2012,171,171,1480,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,14,E85,19,Automatic transmission,2012 Ford Escape XLT FFV,Ford,2012 Ford Escape,2012,240,223,1481,207740
186,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape XLT 4WD,Ford,2012 Ford Escape,2012,171,171,1482,205530
186,85,13,Four-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2012 Ford Escape XLT 4WD FFV,Ford,2012 Ford Escape,2012,240,223,1483,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2012 Ford Escape Limited,Ford,2012 Ford Escape,2012,171,171,1484,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,14,E85,19,Automatic transmission,2012 Ford Escape Limited FFV,Ford,2012 Ford Escape,2012,240,223,1485,207740
186,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,20,Gasoline,27,Automatic transmission,2012 Ford Escape Limited 4WD,Ford,2012 Ford Escape,2012,171,171,1486,205530
186,85,13,Four-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2012 Ford Escape Limited 4WD FFV,Ford,2012 Ford Escape,2012,240,223,1487,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,5,5 Speed Manual,23,Gasoline,28,Manual transmission,2011 Ford Escape XLS,Ford,2011 Ford Escape,2011,171,171,1488,207740
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape XLS AT,Ford,2011 Ford Escape,2011,171,171,1489,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape XLS AWD,Ford,2011 Ford Escape,2011,171,171,1490,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape XLT,Ford,2011 Ford Escape,2011,171,171,1491,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2011 Ford Escape XLT FFV,Ford,2011 Ford Escape,2011,240,223,1492,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape XLT AWD,Ford,2011 Ford Escape,2011,171,171,1493,205530
186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2011 Ford Escape XLT AWD FFV,Ford,2011 Ford Escape,2011,240,223,1494,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2011 Ford Escape Limited,Ford,2011 Ford Escape,2011,171,171,1495,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2011 Ford Escape Limited FFV,Ford,2011 Ford Escape,2011,240,223,1496,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2011 Ford Escape Limited AWD,Ford,2011 Ford Escape,2011,171,171,1497,205530
125,36,166,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic,18,Diesel fuel,24,Automatic transmission,2010 Mercedes-Benz R350 BlueTEC 4Matic,Mercedes,2010 Mercedes-Benz R-Class,2010,210,400,1498,747000
125,36,166,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,14,Gasoline,19,Automatic transmission,2010 Mercedes-Benz R350 4Matic,Mercedes,2010 Mercedes-Benz R-Class,2010,268,258,1499,747000
125,36,166,All-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,TRUE,7,7 Speed Automatic Select Shift,18,Diesel fuel,24,Automatic transmission,2011 Mercedes-Benz R350 BlueTEC 4Matic,Mercedes,2011 Mercedes-Benz R-Class,2011,210,400,1500,747000
125,36,166,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,TRUE,7,7 Speed Automatic Select Shift,15,Gasoline,19,Automatic transmission,2011 Mercedes-Benz R350 4Matic,Mercedes,2011 Mercedes-Benz R-Class,2011,268,258,1501,747000
195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Manual,25,Gasoline,36,Manual transmission,2012 Chevrolet Cruze LS,Chevrolet,2012 Chevrolet Cruze,2012,138,123,1502,143325
195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 138 hp 123 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,35,Automatic transmission,2012 Chevrolet Cruze LS AT,Chevrolet,2012 Chevrolet Cruze,2012,138,123,1503,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,2012 Chevrolet Cruze 1LT,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1504,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze 1LT AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1505,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,28,Gasoline,42,Manual transmission,2012 Chevrolet Cruze Eco,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1506,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,39,Automatic transmission,2012 Chevrolet Cruze Eco AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1507,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,26,Gasoline,38,Manual transmission,2012 Chevrolet Cruze 2LT,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1508,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze 2LT AT,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1509,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,26,Gasoline,38,Automatic transmission,2012 Chevrolet Cruze LTZ,Chevrolet,2012 Chevrolet Cruze,2012,138,148,1510,143325
137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,25,Automatic transmission,2010 BMW 328i xDrive Sports Wagon AT,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200,1511,604992
137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,26,Manual transmission,2010 BMW 328i Sports Wagon,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200,1512,604992
137,184,24,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Manual,17,Gasoline,25,Manual transmission,2010 BMW 328i xDrive Sports Wagon,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200,1513,604992
137,184,24,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,27,Automatic transmission,2010 BMW 328i Sports Wagon AT,BMW Motorrad,2010 BMW 3 Series Sports Wagon,2010,230,200,1514,604992
195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 136 hp 123 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,36,Manual transmission,2011 Chevrolet Cruze LS,Chevrolet,2011 Chevrolet Cruze,2011,136,123,1515,143325
195,245,3,Front-wheel drive,Chevrolet 1.8L 4 Cylinder 136 hp 123 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,35,Automatic transmission,2011 Chevrolet Cruze LS AT,Chevrolet,2011 Chevrolet Cruze,2011,136,123,1516,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze 1LT,Chevrolet,2011 Chevrolet Cruze,2011,138,148,1517,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Manual,28,Gasoline,42,Manual transmission,2011 Chevrolet Cruze Eco,Chevrolet,2011 Chevrolet Cruze,2011,138,148,1518,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,26,Gasoline,37,Automatic transmission,2011 Chevrolet Cruze Eco AT,Chevrolet,2011 Chevrolet Cruze,2011,138,148,1519,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze 2LT,Chevrolet,2011 Chevrolet Cruze,2011,138,148,1520,143325
195,245,3,Front-wheel drive,Chevrolet 1.4L 4 Cylinder 138 hp 148 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,24,Gasoline,36,Automatic transmission,2011 Chevrolet Cruze LTZ,Chevrolet,2011 Chevrolet Cruze,2011,138,148,1521,143325
132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX,Cadillac,2011 Cadillac SRX,2011,265,223,1522,3504600
132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Luxury,Cadillac,2011 Cadillac SRX,2011,265,223,1523,3504600
132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Performance,Cadillac,2011 Cadillac SRX,2011,265,223,1524,3504600
132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Luxury AWD,Cadillac,2011 Cadillac SRX,2011,265,223,1525,3504600
132,225,118,Front-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission,2011 Cadillac SRX Premium,Cadillac,2011 Cadillac SRX,2011,265,223,1526,3504600
132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Premium AWD,Cadillac,2011 Cadillac SRX,2011,265,223,1527,3504600
132,225,118,All-wheel drive,Cadillac 3L 6 Cylinder 265 hp 223 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,23,Automatic transmission,2011 Cadillac SRX Performance AWD,Cadillac,2011 Cadillac SRX,2011,265,223,1528,3504600
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,5,5 Speed Manual,22,Gasoline,28,Manual transmission,2010 Ford Escape XLS,Ford,2010 Ford Escape,2010,171,171,1529,207740
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape XLS AT,Ford,2010 Ford Escape,2010,171,171,1530,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape XLS AWD,Ford,2010 Ford Escape,2010,171,171,1531,205530
188,85,13,Four-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape XLT,Ford,2010 Ford Escape,2010,171,171,1532,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2010 Ford Escape XLT FFV,Ford,2010 Ford Escape,2010,240,223,1533,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape XLT AWD,Ford,2010 Ford Escape,2010,171,171,1534,205530
186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2010 Ford Escape XLT AWD FFV,Ford,2010 Ford Escape,2010,240,223,1535,205530
188,85,13,Front-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,21,Gasoline,28,Automatic transmission,2010 Ford Escape Limited,Ford,2010 Ford Escape,2010,171,171,1536,207740
188,85,13,Front-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,19,Gasoline,25,Automatic transmission,2010 Ford Escape Limited FFV,Ford,2010 Ford Escape,2010,240,223,1537,207740
186,85,13,All-wheel drive,Ford 2.5L 4 cylinder 171hp 171 ft-lbs,TRUE,6,6 Speed Automatic,22,Gasoline,26,Automatic transmission,2010 Ford Escape Limited AWD,Ford,2010 Ford Escape,2010,171,171,1538,205530
186,85,13,All-wheel drive,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,TRUE,6,6 Speed Automatic,13,E85,17,Automatic transmission,2010 Ford Escape Limited AWD FFV,Ford,2010 Ford Escape,2010,240,223,1539,205530
254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2011 Nissan Versa Sedan 1.8 SL,Nissan,2011 Nissan Versa Sedan,2011,122,127,1540,4735576
254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,6,6 Speed Manual,26,Gasoline,31,Manual transmission,2011 Nissan Versa Sedan 1.8 S,Nissan,2011 Nissan Versa Sedan,2011,122,127,1541,4735576
254,118,158,Front-wheel drive,Nissan 1.8L 4 Cylinder 122 hp 127 ft-lbs,TRUE,4,4 Speed Automatic,24,Gasoline,32,Automatic transmission,2011 Nissan Versa Sedan 1.8 S AT,Nissan,2011 Nissan Versa Sedan,2011,122,127,1542,4735576
254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2011 Nissan Versa Sedan 1.6,Nissan,2011 Nissan Versa Sedan,2011,107,111,1543,4735576
254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,4,4 Speed Automatic,25,Gasoline,33,Automatic transmission,2011 Nissan Versa Sedan 1.6 AT,Nissan,2011 Nissan Versa Sedan,2011,107,111,1544,4735576
254,118,158,Front-wheel drive,Nissan 1.6L 4 Cylinder 107 hp 111 ft-lbs,TRUE,5,5 Speed Manual,26,Gasoline,34,Manual transmission,2011 Nissan Versa 1.6 Sedan,Nissan,2011 Nissan Versa Sedan,2011,107,111,1545,4735576
